COUNTY,CASE_STATUS,Cases,Deaths,Updated
MDOC,Confirmed,12407,87,2020/11/28 13:25:03
MDOC,Probable,232,0,2020/11/28 13:25:03
Mackinac,Confirmed,210,0,2020/11/28 13:25:03
Mackinac,Probable,71,0,2020/11/28 13:25:03
Macomb,Confirmed,34994,1211,2020/11/28 13:25:03
Macomb,Probable,1586,56,2020/11/28 13:25:03
Manistee,Confirmed,355,5,2020/11/28 13:25:03
Manistee,Probable,18,1,2020/11/28 13:25:03
Marquette,Confirmed,2536,30,2020/11/28 13:25:03
Marquette,Probable,305,1,2020/11/28 13:25:03
Mason,Confirmed,544,11,2020/11/28 13:25:03
Mason,Probable,44,0,2020/11/28 13:25:03
Mecosta,Confirmed,1175,8,2020/11/28 13:25:03
Mecosta,Probable,48,0,2020/11/28 13:25:03
Menominee,Confirmed,1169,17,2020/11/28 13:25:03
Menominee,Probable,129,0,2020/11/28 13:25:03
Midland,Confirmed,2524,25,2020/11/28 13:25:03
Midland,Probable,411,2,2020/11/28 13:25:03
Missaukee,Confirmed,261,5,2020/11/28 13:25:03
Missaukee,Probable,22,0,2020/11/28 13:25:03
Monroe,Confirmed,4751,75,2020/11/28 13:25:03
Monroe,Probable,453,1,2020/11/28 13:25:03
Montcalm,Confirmed,1833,24,2020/11/28 13:25:03
Montcalm,Probable,139,0,2020/11/28 13:25:03
Montmorency,Confirmed,154,2,2020/11/28 13:25:03
Montmorency,Probable,14,0,2020/11/28 13:25:03
Muskegon,Confirmed,7178,168,2020/11/28 13:25:03
Muskegon,Probable,143,2,2020/11/28 13:25:03
Newaygo,Confirmed,1537,17,2020/11/28 13:25:03
Newaygo,Probable,36,0,2020/11/28 13:25:03
Oakland,Confirmed,40160,1299,2020/11/28 13:25:03
Oakland,Probable,5541,59,2020/11/28 13:25:03
Oceana,Confirmed,1143,16,2020/11/28 13:25:03
Oceana,Probable,47,0,2020/11/28 13:25:03
Ogemaw,Confirmed,469,12,2020/11/28 13:25:03
Ogemaw,Probable,37,0,2020/11/28 13:25:03
Ontonagon,Confirmed,249,13,2020/11/28 13:25:03
Ontonagon,Probable,26,1,2020/11/28 13:25:03
Osceola,Confirmed,466,7,2020/11/28 13:25:03
Osceola,Probable,49,0,2020/11/28 13:25:03
Oscoda,Confirmed,134,4,2020/11/28 13:25:03
Oscoda,Probable,22,0,2020/11/28 13:25:03
Otsego,Confirmed,668,15,2020/11/28 13:25:03
Otsego,Probable,79,1,2020/11/28 13:25:03
Ottawa,Confirmed,12954,136,2020/11/28 13:25:03
Ottawa,Probable,605,15,2020/11/28 13:25:03
Out-of-State,Confirmed,985,5,2020/11/28 13:25:03
Out-of-State,Probable,29,1,2020/11/28 13:25:03
Presque Isle,Confirmed,240,3,2020/11/28 13:25:03
Presque Isle,Probable,24,1,2020/11/28 13:25:03
Roscommon,Confirmed,530,13,2020/11/28 13:25:03
Roscommon,Probable,80,0,2020/11/28 13:25:03
Saginaw,Confirmed,7979,219,2020/11/28 13:25:03
Saginaw,Probable,376,6,2020/11/28 13:25:03
Sanilac,Confirmed,765,13,2020/11/28 13:25:03
Sanilac,Probable,15,1,2020/11/28 13:25:03
Schoolcraft,Confirmed,163,1,2020/11/28 13:25:03
Schoolcraft,Probable,10,1,2020/11/28 13:25:03
Shiawassee,Confirmed,1855,41,2020/11/28 13:25:03
Shiawassee,Probable,54,1,2020/11/28 13:25:03
St Clair,Confirmed,3888,81,2020/11/28 13:25:03
St Clair,Probable,485,2,2020/11/28 13:25:03
St Joseph,Confirmed,2276,32,2020/11/28 13:25:03
St Joseph,Probable,247,1,2020/11/28 13:25:03
Tuscola,Confirmed,1551,54,2020/11/28 13:25:03
Tuscola,Probable,132,0,2020/11/28 13:25:03
Unknown,Probable,12,0,2020/11/28 13:25:03
Unknown,Confirmed,26,0,2020/11/28 13:25:03
Van Buren,Confirmed,2641,41,2020/11/28 13:25:03
Van Buren,Probable,151,2,2020/11/28 13:25:03
Washtenaw,Confirmed,9006,133,2020/11/28 13:25:03
Washtenaw,Probable,913,1,2020/11/28 13:25:03
Wayne,Confirmed,39152,1457,2020/11/28 13:25:03
Wayne,Probable,2910,58,2020/11/28 13:25:03
Wexford,Confirmed,587,13,2020/11/28 13:25:03
Wexford,Probable,30,0,2020/11/28 13:25:03
